Sotheby’s Auction Result Data (Contemporary),,,,,,
Painting Reference,Category,Painting src,Artist Name,Title of Painting,Estimated Price,Price Sold
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-13?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/5c10347d-77a5-467b-85ba-c21afaa8a246/primary/extra_small,1019.  Stanley Whitney,Untitled,"25,000 - 35,000 USD","69,300 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-2?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/4de2a3e0-e27e-47ff-b70c-0d1a307cb65a/primary/extra_small,1020.  Katherine Bernhardt,"Watermelon, Basketballs, Popsicles, and Cigs","50,000 - 70,000 USD","47,880 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/rule-of-six?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/e14d245c-bf6b-410f-9cd6-9423343c5c47/primary/extra_small,1021.  Szabolcs Bozó,Rule of Six,"40,000 - 60,000 USD","126,000 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/matias-sanchez-montaneros?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/e80a6cf8-b374-450e-afe4-d2d13d57d5c9/primary/extra_small,1022.  Matías Sánchez,"Matías Sánchez, Montañeros","6,000 - 8,000 USD","4,788 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/the-sands-of-time-i?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/debc8dae-5f9e-4d4d-b800-9142e1f39507/primary/extra_small,1023.  Robert Colescott,The Sands of Time I,"40,000 - 60,000 USD",
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/the-marriage-of-heaven-and-hell?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/88099588-96af-49e1-adb6-938ede71f110/primary/extra_small,1024.  Nicole Eisenman,The Marriage of Heaven and Hell,"20,000 - 30,000 USD","17,640 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/jo-bom?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/b1e93f03-d0e3-4eef-8b7b-02cf2e61c885/primary/extra_small,1025.  Brendan Cass,Jo Bom,"800 - 1,200 USD","1,260 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/game-of-thrones?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/86253868-8a92-4b57-b868-9a4c12c2f695/primary/extra_small,1026.  Ed Fornieles,Game of Thrones,"1,000 - 2,000 USD","1,512 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-unfriend-your-parents?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/c05f96ba-99df-406e-ab76-bce51bbf5234/primary/extra_small,1027.  Mark Flood,Untitled (Unfriend Your Parents),"3,000 - 5,000 USD","2,016 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/honest?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/7a3d8778-01fc-415d-8016-aab43866da51/primary/extra_small,1028.  Ricci Albenda,Honest,"8,000 - 12,000 USD","23,940 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/the-larry-joke?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/57418793-30b7-49c5-b9ad-dd5ddeb9100d/primary/extra_small,1029.  Kenny Schachter,The Larry Joke,"1,000 - 2,000 USD","1,890 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-from-psychopts?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/963649ba-c5db-426a-b7b5-a26ed04c9258/primary/extra_small,1030.  Christopher Wool and Richard Hell,"Untitled from ""Psychopts""","2,000 - 3,000 USD","1,890 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/blah-blah-blah?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/edbe9db0-1bc8-4cd6-9a4d-5e2cb1f11577/primary/extra_small,1031.  Mel Bochner,"Blah, Blah, Blah","10,000 - 15,000 USD","32,760 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-from-psychopts-2?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/c85753ed-5ecb-4aac-9c8c-28baf4ced17c/primary/extra_small,1032.  Christopher Wool and Richard Hell,"Untitled from ""Psychopts""","2,000 - 3,000 USD","5,040 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-3?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/d3d6f351-fcb7-43bd-9f9d-bb3d6604b5d3/primary/extra_small,1033.  Gary Simmons,Untitled,"5,000 - 7,000 USD","7,560 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/decade-autoportrait-76-combs-neck-from-decade?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/7174b5ed-171e-4131-82cd-f3b98e30602f/primary/extra_small,1034.  Robert Indiana,"Decade: Autoportrait ‘76 (Comb’s Neck) from Decade: Autoportraits, Vinalhaven","1,000 - 2,000 USD","7,560 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/wipe-out?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/8935dea0-403b-464f-b272-ad6aa2130c24/primary/extra_small,1035.  Richard Prince,Wipe Out,"10,000 - 15,000 USD","13,860 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/die-welt?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/0126bee7-754d-467d-b185-b5ffdc9c1075/primary/extra_small,1036.  Ellsworth Kelly,Die Welt,"1,000 - 2,000 USD","1,764 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/crypto-cert?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/a7f836ad-2b9c-4c84-a940-cb270d562bc8/primary/extra_small,1037.  Ed Fornieles,Crypto Cert,"1,000 - 2,000 USD",504 USD
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/10-24-64-paul-thek-birthday-cake-of-flesh-at?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/4dc8bdf5-b688-4389-8698-129b863273bf/primary/extra_small,1038.  Fred W. McDarrah,"10-24-64 Paul Thek ""Birthday Cake of Flesh"" at Stable Gallery",400 - 600 USD,"4,410 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/earthquake?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/fd7c9978-c608-46d1-bc88-40d23d7dafd6/primary/extra_small,1039.  Georg Herold,Earthquake,700 - 900 USD,378 USD
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/run-off?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/b05102bb-28ec-484f-9ae7-d28cafd820ff/primary/extra_small,1040.  Vito Acconci,Run Off,"15,000 - 20,000 USD","5,292 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/15-service-applebees-waitress-head?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/576b329a-9d20-468d-ae65-b654bc23ab87/primary/extra_small,1041.  Josh Kline,15% Service (Applebee's Waitress' Head),"18,000 - 25,000 USD","23,940 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/crystal-head?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/8062c7f5-0c42-4af3-8894-f3d842024ad2/primary/extra_small,1042.  John LeKay,Crystal Head,"1,000 - 2,000 USD",378 USD
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/portrait-of-gremlin?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/e8ddc8ed-08d4-4363-908b-a720851ca6ba/primary/extra_small,1043.  Issy Wood,Portrait of Gremlin,"30,000 - 50,000 USD",
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-32?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/ac3d11c1-1744-43f7-b7a9-ecad11663629/primary/extra_small,1044.  Susumu Kamijo,Untitled,"2,000 - 3,000 USD","22,680 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/woman-gryphon?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/56a98798-825e-4c07-87f3-789b80dd10a3/primary/extra_small,1045.  Elad Lassry,Woman (Gryphon),"2,000 - 3,000 USD","2,520 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-34?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/bf39c760-6bb4-4a52-b052-1bd4aa9982bc/primary/extra_small,1046.  Kon Trubkovich,Untitled,"6,000 - 8,000 USD","4,032 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/heated-temperament?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/725b4d8b-4170-4fae-bde2-36ad0b2ef323/primary/extra_small,1047.  Devin B. Johnson,Heated Temperament,"5,000 - 7,000 USD","20,160 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-35?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/5edffd80-a2c0-4601-aa01-f1e4131ea8f9/primary/extra_small,1048.  Franz West,Untitled,"10,000 - 15,000 USD","10,710 USD"
https://www.sothebys.com/en/buy/auction/2022/modern-discoveries-7/semele?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/73b9e059-3f7f-4ff3-966b-ae0e278a67c8/primary/extra_small,645.  Arthur B. Davies,Semele,"5,000 - 7,000 USD","2,016 USD"
https://www.sothebys.com/en/buy/auction/2022/modern-discoveries-7/two-peasant-girls?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/a7fa8db3-169b-49e7-b367-8c5789756187/primary/extra_small,646.  Léon-Augustin Lhermitte,Two Peasant Girls,"5,000 - 7,000 USD",
https://www.sothebys.com/en/buy/auction/2022/modern-discoveries-7/st-patricks-cathedral?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/a846dae0-bac0-46f7-8f65-94bfb3303cf1/primary/extra_small,647.  Johann Berthelsen,St. Patrick’s Cathedral,"4,000 - 6,000 USD","7,560 USD"
https://www.sothebys.com/en/buy/auction/2022/modern-discoveries-7/sketch-of-rockport-massachusetts?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/efe754a5-c8b6-4ab6-a177-70d4e7f4f57b/primary/extra_small,648.  William James Glackens,"Sketch of Rockport, Massachusetts","15,000 - 25,000 USD","12,600 USD"
https://www.sothebys.com/en/buy/auction/2022/modern-discoveries-7/winter-street?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/fb8b8c5b-fed4-4b37-9c5d-b5006dfbe9fd/primary/extra_small,649.  Johann Berthelsen,Winter Street,"3,000 - 5,000 USD","2,394 USD"
