,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
433,433,433,5.000 USD,Ruth Bernhard,129.0,Harvest ,1953,"Signed in pencil on the mount, signed, titled, dated, and annotated 'Printed ca. 1959' and 'Vintage' in pencil on the reverse.","This lush, matte-surface print is in generally excellent condition. The mount is faintly soiled and the edges and corners are worn.The reverse of the mount is faintly soiled and there are some scattered fingerprints. The following is written in pencil in an unidentified hand on the reverse: 'AGFA 1143-PAPER, UNIQUE, AOZ-V-89, $4500' and 'RB021.'",Post-War,Realism
434,434,434,7.000 USD,Ruth Bernhard,129.0,Perspective II,1967,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",This print is in excellent condition. The sheet is gently rippled.,Post-War,Realism
435,435,435,2.000 USD,Ruth Bernhard,129.0,Shell and Driftwood,1943,Signed and titled in pencil on the reverse.,"This print is in generally excellent condition. Under close examination, there are some deposits of original retouching, a few tiny impressions, and 2"" faint, circular disruptions near the center.The reverse is faintly soiled. There are abrasions and hinge remnants, suggesting this print was previously affixed to a secondary mount.'Property of Ginny Williams' is written in pencil by Ginny Williams on the reverse. '1200-' and 'C.170,10' are written in pencil in an unidentified hand. 'Printed in / Book Ruth Bernhard / The Ginny Williams Collection' is written in pencil by Ginny Williams on a Post-It note affixed to the reverse.",Modern,Realism
436,436,436,3.000 USD,Ruth Bernhard,129.0,Rockport Nude,1946,[nan],"This photograph, on semi-glossy paper, is in generally very good to excellent condition.There are scattered deposits of original retouching, some faint scratches, and a few small translucent liquid droplets. The periphery of the image is somewhat yellowed. The photograph is trimmed to the image and there are a few chips to the emulsion along the edges. Since the reverse of the image is hinged to a mat, it cannot be examined.When examined under ultraviolet light, this print appears to fluoresce.",Post-War,Realism
437,437,437,3.000 USD,Ruth Bernhard,129.0,Two Cows,1937,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print, on paper with a slight surface sheen, is in generally excellent condition. Under close examination, a few deposits of original retouching are visible.'RB062' and 'SP' are written in pencil in an unidentified hand on the reverse. The reverse is very faintly soiled.",Modern,Realism
438,438,438,3.000 USD,Ruth Bernhard,129.0,Teapot,1976,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print, with a semi-glossy surface, is in generally excellent condition. The reverse of the mount is abraded in a small area in the upper right corner.",Post-War,Surrealism
439,439,439,35.000 USD,Richard Corman,0.0,Jean-Michel Basquiat,Printed 1984,All three photographs signed and numbered verso,Works not inspected out of frame.Undulation to paper along edges of matting. ,Contemporary,Realism
440,440,440,8.750 USD,Larry Rivers,145.0,Make Believe Ballroom ,1989,"Signed in blue paint, dated and numbered 99/105","This work is in good condition.The work is in generally good condition apart from surface soiling and scattered spots of pale, mottled discoloration.The adhesive discolored in a few spots along the seams.",Post-War,Pop Art
441,441,441,2.500 USD,Hiro Yokose,129.0,Untitled #3890,2002,"Signature, date and title on verso",This work is in very good condition.No obvious signs of damage.,Contemporary,Romanticism
442,442,442,2.000 USD,Hiro Yokose,129.0,Untitled #3972,2003,"Signature, date and title on verso",This work is in good condition.Small chip to frame on upper left.Inconsistencies on wax surface on top center.,Contemporary,Romanticism
443,443,443,600 USD,George Platt Lynes,149.0,Nude Figures On A Brass Bed ,[nan],[nan],This work is in good condition.Slight rippling to paper.,Modern,Realism
444,444,444,600 USD,George Platt Lynes,149.0,Kate Lawson,1935,[nan],This work is in good condition.Slight rippling to paper.,Modern,Realism
445,445,445,600 USD,George Platt Lynes,149.0,Laurie Douglas Horbach,1944,[nan],This work is in good condition.Slight rippling to paper.,Modern,Realism
446,446,446,2.550 USD,Harry Wilson Watrous,0.0,Still Life with St. Anthony Figurine,Circa 1930,Signed Watrous on bottom right.,This work is in good condition.Small chip to paint on top left corner.,Modern,Realism
447,447,447,5.500 USD,LEWIS W. HINE,134.0,Selected Images of Workers ,1911 - 1915,"One bears the Lewis Hine, Interpretive Photography, Hastings-On-Hudson, New York stamp on the reverse, 1911-15.","This work is in overall excellent condition.Under close examination, the following are visible: faint silvering in the darkest areas of the prints and occasional chips to the black margins.Adhesive remnants, abrasions, and faint soiling on the reverse of the prints.When examined under ultraviolet light, these prints do not appear to fluoresce.",Modern,Realism
448,448,448,6.500 USD,RALPH STEINER,0.0,Portfolio III ,1921 - 1929,"Each signed and dated in pencil on the reverse, 1921-29, printed in 1980-81Together with the printed plate list/colophon, signed and editioned 7 in ink","This work is in overall excellent condition.Under close examination, the following are visible: faint silvering in the darkest areas of the prints and occasional chips to the black margins.There are adhesive remnants, abrasions, and faint soiling on the reverse of the prints.When examined under ultraviolet light, these prints do not appear to fluoresce.",Modern,Realism
449,449,449,800 USD,Stephen Neil Lorber,0.0,Still Life With Lumber,1975,Signed in pencil lower right corner.,This work is in good condition.Not examined outside of frame.Slight rippling and toning to paper.,Post-War,Realism
450,450,450,1.500 USD,Frances Kuehn,0.0,Untitled (NBR 8) (APPLE) ,[nan],Signed and dated in pencil recto,Not examined out of frame.Creasing. Minor stains and nicks to frame.,Post-War,Realism
451,451,451,1.500 USD,Amy Scott,0.0,Winter-Rose/Katy's Vase ,[nan],Dated and initialed in pencil recto,Not examined out of frame. Surface marks through wood frame. Creasing to paper. Adhesive remnants at back.,Post-War,Realism
452,452,452,800 USD,Brett Groves,0.0,Correspondence 05 (Strike Gently),2012,"Signed in ink lower left, numbered lower right.",This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,Contemporary,Realism
453,453,453,800 USD,Caren Canier,0.0,Still Life with Iris ,[nan],Signed and dated in pencil recto,Not examined out of frame. Minor creasing.,Post-War,Realism
454,454,454,800 USD,Curtis Ripley,0.0,The Pink Vase,1981,"Signed, dated and stamped lower right.",This work is in very good condition.Not examined outside of frame. Light scratches to plexiglass,Post-War,Realism
455,455,455,800 USD,Stephen Neil Lorber,0.0,Chinese Baskets,1977,Signed in pencil lower right corner.,This work is in good condition.Not examined outside of frame.Rippling and toning to paper.,Post-War,Realism
456,456,456,1.500 USD,Stephen Neil Lorber,0.0,Navajo Ceremonial,[nan],Signed in pencil lower right corner,This work is in very good condition.Not examined outside of frame.Rippling to paper.,Post-War,Realism
457,457,457,1.500 USD,Marcia Scanlon,0.0,Millhollow XI,[nan],Signed in pencil lower right corner,Not examined outside of frame. Slight bowing to paper.Smudges on bottom of frame.,Post-War,Realism
458,458,458,1.500 USD,Debra Bermingham,0.0,Wedding Gift ,[nan],[nan],Not examined out of frame.Minor markings to wood frame.,Post-War,Realism
459,459,459,1.500 USD,Christine McArthur,0.0,Strawberry Tots,[nan],Signed in oil lower right,Not examined outside of frame. Paper bowed at bottom.,Contemporary,Expressionism
460,460,460,800 USD,Olivia Munroe,0.0,A Collection ,1980,"Numbered, titled and signed pencil recto.",This work is in good condition.Not examined out of frame.,Post-War,Realism
461,461,461,800 USD,Adrianne Wortzel,0.0,Blue Gray ,1990,"Numbered, signed and dated in pencil recto.",This work is in good condition.Not examined out of frame.Sheet undulation.Scratches to plexiglass.,Post-War,Realism
462,462,462,800 USD,Martin McGinn,0.0,Plastic Buckets ,2001,Signed and dated in pencil recto,This work is in good condition.Not examined out of frame.Minor indentations to sheet.Soiling to edges of frame.,Contemporary,Expressionism
463,463,463,1.500 USD,Laura Newman,0.0,Biomorphic Furniture ,1989,[nan],Not examined out of frame. Sheet undulation. Numerical inscriptions in pencil at back of frame.,Post-War,Abstract
464,464,464,1.500 USD,Robert Parker,0.0,Irish Interior,[nan],Signed in ink lower middle,Not examined outside of frame. Paper has a noticeable seam across the middle of the image.  ,Post-War,Expressionism
465,465,465,800 USD,Mary Jo Vath,0.0,Untitled ,2003,Signed and dated in pencil recto.,This work is in good condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Realism
466,466,466,800 USD,Stuart Nielsen,0.0,Shell/Butterfly,1978,Signed and dated in pencil upper left.,This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,Post-War,Expressionism
467,467,467,800 USD,Marcia Scanlon,0.0,Millhollow,[nan],Signed in pencil lower right corner.,This work is in very good condition.Not examined outside of frame.Light smudges to frame.,Post-War,Realism
468,468,468,800 USD,Neil Winokur,83.0,Tools,1990,[nan],This work is in good condition.Minor wear to finish.Back is lined with paper that is unaffixed in some areas.,Post-War,Realism
469,469,469,1.500 USD,Willie White,0.0,Untitled,1986,[nan],Not examined outside of frame. No obvious defects to artwork.,Post-War,Expressionism
470,470,470,800 USD,Elspeth Lamb,0.0,Anaktos,1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,Post-War,Abstract
471,471,471,1.500 USD,Leatrice Rose,0.0,Bananas,[nan],Signed in pencil lower right corner,This work is in very good condition.Not examined outside of frame.Slight rippling to paper.Smudge on top of frame.,Post-War,Realism
472,472,472,680 USD,David Fokos,64.0,Moonrise,2001,Signed and dated lower right recto,This work is in very good condition with no obvious signs of wear to the photo.Not examined out of frame.Chips to frame.,Contemporary,Realism
473,473,473,680 USD,Suzanne Song,0.0,"Untitled, Replica V3",2008,Signed and dated verso,This work is in very good condition with no obvious signs of wear.,Contemporary,Minimalism
474,474,474,680 USD,David Fokos,64.0,Canal,2001,Signed and dated lower right recto,This work is in very good condition with no obvious signs of wear to photo.Not examined out of frame.Chips to frame.,Contemporary,Realism
475,475,475,900 USD,Philip Read,0.0,Cabbage Encompassing Earth,1990 - 1999,[nan],"This work is in overall good condition.Moderate wear to frame, more pronounced at corners.Slight marks to canvas.",Post-War,Surrealism
476,476,476,2.600 USD,Henry Schouten,0.0,Hens and Chicks,Late 19th Century ,Signed Henry Schouten on lower left,This work is in overall good condition.Small hole to canvas.Scratch to paint.,19th Century,Impressionism
477,477,477,800 USD,Alan Turner,0.0,White Landscape,1978,Signed lower right in pencil,This work is in good condition.Artwork not examined outside of frame.Small pinholes in all four corners.Light smudges to mat.,Post-War,Expressionism
478,478,478,1.500 USD,Paul Narkiewicz,0.0,Nursery,1980,[nan],Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
479,479,479,1.500 USD,Diane Sophrin,0.0,View Of Living Room,1983,[nan],Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Realism
480,480,480,1.875 USD,William Lee Hankey,0.0,Coombe Village,Early 20th Century ,Signed Wm Lee-Hankey on bottom right,This work is in very good condition.Small nicks to frame.Not examined out of frame.,Modern,Impressionism
481,481,481,800 USD,Ron Trujillo,0.0,Atlantis Explosion No 4,1987,Signed R Trujillo on bottom right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Some scuffs and marks at corners of wood frame.,Post-War,Expressionism
482,482,482,800 USD,Joan Nelson,88.0,Untitled,1990,Signed Joan Nelson 90 in pencil in lower right recto,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor scuffs to plexiglass at bottom.Minimal signs of wear to frame.,Post-War,Expressionism
483,483,483,800 USD,Claire Van Vliet,0.0,Summer 2,1985,Signed lower right in pencil,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
484,484,484,1.500 USD,Sandy Walker,0.0,Beach Pastel,1979,Signed SW 79 in pencil on bottom center recto,Artwork not examined outside of frame.No obvious signs of wear to artwork.Two dents on white mat at bottom left.,Post-War,Expressionism
485,485,485,1.500 USD,Alan Turner,0.0,Autumn Covering Summer,1979,"Signed and dated in pencil, lower right",Artwork not examined outside of frame.Small pinholes in all four corners.Yellowing to paper.,Post-War,Expressionism
486,486,486,800 USD,John Shaw,0.0,Brooklyn Bridge,1983,Signed John Shaw in pencil on lower right recto,This work is in good condition.Artwork not examined outside of frame.Not obvious signs of wear to artwork.Some surface scratches to plexiglass.Minimal surface wear to frame.,Post-War,Expressionism
487,487,487,800 USD,Steven Barbash,0.0,Birds,1977,Signed and dated lower right in pencil,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Realism
488,488,488,800 USD,JOHN BELLANY,0.0,Untitled,1987,Signed John Bellany in pencil on bottom right recto,This work is in good condition.Artwork not examined outside of frame.Minor rippling to paper.Minor surface wear to frame.,Post-War,Surrealism
489,489,489,3.000 USD,Irene Mamiye,0.0,Rays,21st Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small chip to frame.,Contemporary,Pop Art
490,490,490,1.500 USD,Mel Pekarsky,0.0,Blue Hills,1977,"Signed and dated lower right, MP '77",This work is in good condition.Artwork not examined outside of frame.Two small holes at top right and left corners.,Post-War,Expressionism
491,491,491,800 USD,Mary Jo Vath,0.0,Lure,1989,Inscribed 14/30 M.Vath 1989 in pencil recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Expressionism
492,492,492,3.000 USD,Irene Mamiye,0.0,Rays,21st Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small chip to frame.,Contemporary,Pop Art
493,493,493,1.500 USD,Margo Sawyer,0.0,Ascension,1987 - 1989,[nan],This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Abstract
494,494,494,3.000 USD,Irene Mamiye,0.0,Rays,21st Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small chip to frame.,Contemporary,Pop Art
495,495,495,800 USD,Jack Knox,0.0,Whale,1986,Signed lower right in pencil,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
496,496,496,800 USD,Jack Beal,0.0,Spotted Salamander,1973,Signed Jack Beal in pencil on lower right recto,"This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Scuffs and marks to wood frame, more significant wear at top right corner.Surface wear to plexiglass and frame.",Post-War,Expressionism
497,497,497,2.160 USD,Oskar Laske,0.0,Meadow Scene,Early 20th Century ,Signed O. Laske on bottom right,This work is in very good condition.Not examined out of frame.,Modern,Impressionism
498,498,498,1.500 USD,Joseph Sweeney,0.0,University Of PA Boathouse,1993,[nan],This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Smudges to mat.,Post-War,Realism
499,499,499,800 USD,Steven Campbell,0.0,Lobster,1986,Signed Steven M Campbell in pencil on bottom right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor surface wear to frame.Scratch to plexiglass across bottom.Minor separation of mitered corner of frame at lower right.,Post-War,Expressionism
500,500,500,3.000 USD,Irene Mamiye,0.0,Rays,21st Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small mark to frame.,Contemporary,Pop Art
501,501,501,800 USD,Susana Solano,0.0,Plaça Del Joc De La Pilota IV,Circa 1987,Inscribed in pencil on lower right recto,Artwork not examined outside of frame.Minor rippling to paper.Minor surface wear to frame.,Post-War,Expressionism
502,502,502,800 USD,Deborah Brown,105.0,Todd,2001,Signed in pencil bottom right,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Realism
503,503,503,800 USD,DON NICE,123.0,Bullfrog,1972,Signed Nice in pencil on lower right recto,This work is in good condition.Artwork not examined outside of frame.Minor discoloration to paper edges.Pin holes at corners of paper from previous hanging.Minor rippling of paper.Minor surface wear to frame.,Post-War,Realism
504,504,504,800 USD,David True,0.0,Fragile Wings,1989,Signed David True 89 in pencil on lower right rector,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minimal surface wear to frame.,Post-War,Expressionism
505,505,505,4.500 USD,Ernst Haas,0.0,"NYC, USA",1953,Signed on verso by the artist's son,"This work is in excellent condition. The colors remain bright and saturated with no apparent fading.The Haas Studio label is signed by Alexander Haas, the photographer's son and is titled, dated, editioned '1/15', and annotated in ink.",Post-War,Realism
506,506,506,800 USD,Susana Solano,0.0,Plaza Del Joc III,1988,Inscribed in pencil on lower right recto,This work is in good condition.Artwork not examined outside of frame.Minor rippling of paper.Minor surface wear to frame.,Post-War,Expressionism
507,507,507,800 USD,Deborah Brown,105.0,Sadie I,2001,Signed in pencil bottom right,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Realism
508,508,508,1.500 USD,Sandy Walker,0.0,Ocean Series I,1978,Signed SW 78 in pencil on lower center recto,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minimal surface wear to frame.,Post-War,Expressionism
509,509,509,7.000 USD,Horst P. Horst,153.0,Nails In Technicolor,1941,[nan],"This piece is in overall very good condition. There are a few soft small creases that do not appear to break the emulsion, which are visible only in raking light.",Modern,Realism
510,510,510,1.500 USD,Donald Sanders,0.0,Night Venture,1987,[nan],Artwork not examined outside of frame.No obvious signs of wear to artwork.Some marks and scuffs on lower right corner of frame.Minor surface wear to frame.,Post-War,Expressionism
511,511,511,3.000 USD,Irene Mamiye,0.0,Rays,21st Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small mark to frame.,Contemporary,Pop Art
512,512,512,1.500 USD,Victoria Scalfani,0.0,Shadow I,21st Century ,Signed V Scalfani in pencil at lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor surface wear to frame.,Contemporary,Expressionism
513,513,513,800 USD,Marcia Scanlon,0.0,Parthenon,1986,Signed in pencil at bottom,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Paint drip on inside of glass frame.,Post-War,Realism
514,514,514,800 USD,Norman Stevens,0.0,Stonehenge,1976,Inscribed 21/25 Stonehenge Norman Stevens in pencil recto,This work is in very good condition.Not examined out of frame.Minor creasing to sheet.,Post-War,Realism
515,515,515,800 USD,Susana Solano,0.0,Plaça Del Joc De La Pilota II,1987,Inscribed in pencil on lower right recto,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minor surface wear to frame.,Post-War,Expressionism
516,516,516,800 USD,Joan Nelson,88.0,Untitled (451 Ca),1990,Signed Joan Nelson 90 in pencil on lower right recto,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minimal signs of wear to frame.,Post-War,Expressionism
517,517,517,800 USD,Marcia Scanlon,0.0,Delphi Tholos II,1985,Signed in pencil lower right,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Realism
518,518,518,800 USD,Jack Knox,0.0,Dove,1986,Signed lower right in pencil,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
519,519,519,800 USD,Anthony Gross,0.0,Homage To Constable (Salisbury),1976,"Numbered, titled and singed in pencil recto",This work is in good condition.Not examined out of frame.Scattered scratches to plexiglass.Faint burn marks at edges of paper.Sheet undulation.,Post-War,Impressionism
520,520,520,1.500 USD,Billy Sullivan,0.0,Palisades #4,1986,Inscribed Palisades #4 Bill Sullivan in pencil recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Realism
521,521,521,800 USD,T.L. Solien,0.0,Fragments Of Hope,1982,Artist signature and date incorporated in work,This work is in good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,Post-War,Conceptual 
522,522,522,800 USD,T.L. Solien,0.0,Fragments Of Hope,1982,[nan],This work is in good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.Separation of frame at corner and crack to frame.,Post-War,Conceptual 
523,523,523,1.500 USD,Richard Haas,0.0,New York Central Building,1974,Signed Richard Haas in pencil on lower right recto,This work is in good condition.Artwork not examined outside of frame.Minor rippling and discoloration to paper edges.Minor wear to frame finish.,Post-War,Traditional
524,524,524,800 USD,Forrest Moses,140.0,Untitled,1979,Moses in pencil at lower right recto,This work is in good condition overall.Artwork not examined outside of frame.Minor rippling and discoloration to paper.,Post-War,Expressionism
525,525,525,800 USD,June Redfern,0.0,Seal,1986,Signed lower right recto,Not examined out of frame.No obvious signs of wear to art.,Post-War,Abstract
526,526,526,1.500 USD,David Dewey,0.0,"Morning Shadows, Marshall Point",1984,[nan],This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Contemporary,Impressionism
527,527,527,1.500 USD,Jon Imber,0.0,"Red Bramble, Drumlin Farm",Circa 1989,Signed and dated in pencil recto,This work is in very good condition.Not examined out of frame.Minor sheet undualtion.,Post-War,Surrealism
528,528,528,1.500 USD,Mary Armstrong,0.0,Tide Pool Shuffle,1984,Signed lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
529,529,529,1.500 USD,Billy Sullivan,0.0,Daisy On Carpet,1981,Inscribed Billy Sullivan in pastel lower right corner recto,This work is in very good condition.Not examined out of frame.Sheet undulation due to artist's chosen working materials.,Post-War,Realism
530,530,530,1.500 USD,James Romberger,0.0,Third Street Garden,1990,Signed JAMES lower right recto,Not examined out of frame.Adhesive residue marks throughout plexiglass.Minor soiling and marks to paper.Minor sheet undulation.Blemish to frame at bottom right side.,Post-War,Realism
531,531,531,1.500 USD,Alberto Morrocco,0.0,"Berthed Boats, Camogli",1988,Artist signature and date lower left recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Realism
532,532,532,1.500 USD,Mary Jo Vath,0.0,Wave,1985,Artist name inscribed verso,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Nicks and chips to frame.,Post-War,Expressionism
533,533,533,800 USD,Lucy Sallick,0.0,Indian Island II,1989,Inscribed 2/15 Indian Island II Lucy Sallick 1989 in pencil recto,This work is in good condition.Not examined out of frame.Small scattered scratches to plexiglass.,Post-War,Expressionism
534,534,534,800 USD,Gregory Crane,0.0,New Moon and Poplars,1990,Signed Gregory Crane 1990 in pencil at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.No other obvious signs of artwork.,Post-War,Expressionism
535,535,535,1.500 USD,John Andre Gundelfinger,0.0,Untitled No. 4,1977,Signed in paint lower right corner recto,This work is in very good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Post-War,Impressionism
536,536,536,800 USD,Steven Sorman,99.0,I Am Too,2000,[nan],This work is in good condition.Not examined outside of frame.No obvious damage to artwork.,Post-War,Abstract
537,537,537,800 USD,June Redfern,0.0,Wolf,1986,Signed lower right recto,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Post-War,Abstract
538,538,538,800 USD,Richard Chiriani,0.0,"A Schoharie Marsh, Spring",1984,Signed and dated recto,"This work is in very good condition.Small sticky mark to plexiglass on lower left corner, suggest cleaning.No visible signs of wear to artwork.Not examined out of frame.",Post-War,Realism
539,539,539,800 USD,Richard Mock,0.0,Alaskan Wildlife,2001,"Inscribed 5/100 ""Alaskan Wildlife"" Richard Mock 2001 in pencil recto",This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Contemporary,Conceptual 
540,540,540,800 USD,Antonio Frasconi,0.0,"Ice Crusher, Cart",1952,Signed in pencil lower right,This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Post-War,Conceptual 
541,541,541,800 USD,Richard Crozier,0.0,"Palms III Ojai, CA",1979,Signed Richard Crozier 1979 in pencil at lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
542,542,542,1.500 USD,Marilyn Duke,0.0,September,1984,[nan],Not examined out of frame.One small surface mark and one minor indentation to frame.Faint surface marks at top right corner.No visible signs of wear to artwork.,Post-War,Expressionism
543,543,543,1.500 USD,Ella Delyanis,0.0,"Study, Storm Over Bell Pond",1983,Bottom right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious sign of wear to artwork.,[nan],[nan]
544,544,544,1.500 USD,T.L. Solien,0.0,Blood Tug,Late 20th Century ,[nan],This work is in very good condition.Not examined out of frame.No visible signs of wear to art.,Post-War,Expressionism
545,545,545,800 USD,Gregory Crane,0.0,A Brilliant Entrance,2003,Signed and dated lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Contemporary,Expressionism
546,546,546,800 USD,Joseph Soloman,0.0,Garden Scene,1979,Inscribed Joseph Soloman 79 bottom right corner recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.One small mark to frame on left side.,Post-War,Expressionism
547,547,547,800 USD,June Redfern,0.0,Lion,1986,Signed lower right recto,This work is in very good condition.Not examined out of frame.Small nick to frame at top center.Small chip to paper.,Post-War,Abstract
548,548,548,800 USD,Paul Davis,0.0,Max,1977,Inscribed He Paul Davis 77 in pencil recto,This work is in good condition.Not examined out of frame.Horizontal adhesive residue mark across the top of the image.Scattered surface scratches to plexiglass.,Post-War,Expressionism
549,549,549,800 USD,Judith S. Miller,0.0,Eric Shows Me The Hidden Parks,2006,Signed and dated lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Contemporary,Realism
550,550,550,800 USD,MICHAEL MAZUR ,0.0,The Net,1977,Signed Mazur in pencil on lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor wear to frame surface.,Post-War,Impressionism
551,551,551,800 USD,Len Jenshel,0.0,Painted Rock State Park: Arizona,1988,[nan],This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
552,552,552,800 USD,Billy Sullivan,0.0,Islands #8,1986,Signed and numbered in pencil recto,This work is in very good condition.Not examined out of frame.Small black mark at right corner of matte.,Post-War,Realism
553,553,553,800 USD,T.L. Solien,0.0,Fragments Of Hope,1982,[nan],This work is in good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,Post-War,Conceptual 
554,554,554,800 USD,Lizbeth Mitty,0.0,Nightride Overpass,2001,Signed and dated lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Contemporary,Impressionism
555,555,555,800 USD,Sandra Clark,0.0,Gamberaia #10,[nan],[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Contemporary,Expressionism
556,556,556,800 USD,John Gundelfinger,0.0,Untitled No 2,1979,Signed John Gundelfinger in pencil on white backing at lower left,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Realism
557,557,557,800 USD,Darina Karpov,0.0,Crawlers,2012,Signed and dated lower right recto,This work is in very good condition.No obvious signs of wear to art.Not examined out of frame.,Contemporary,Conceptual 
558,558,558,1.500 USD,Sally Amster,0.0,The Cove and Beyond,1981,Artist signature and date lower right recto,"No visible signs of wear to artwork.Not examined out of frame.Frame is loose, has been taped for adherence.Chips to finish on wood frame.",Post-War,Expressionism
559,559,559,800 USD,Donna Dennis,0.0,Entrance,1986,"Signed and dated in pencil, lower right.",This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
560,560,560,1.500 USD,Susan Laufer,0.0,Lifeline Drawing Series #28,1988,Artist signature bottom right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Abstract
561,561,561,1.500 USD,Joseph A. Salvatore,0.0,Book Of Jeremiah,1981,[nan],This work is in good condition.Not examined out of frame.Mark at bottom right corner of frame.,Post-War,Conceptual 
562,562,562,800 USD,MICHAEL MAZUR ,0.0,Wakeby Island,1985,Signed lower right recto,This work is in good condition.Rippling to paper.Not examined out of frame.,Post-War,Expressionism
563,563,563,800 USD,"Peter Howson, O.B.E.",160.0,Stag,1986,Signed lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism
564,564,564,800 USD,Richard Haas,0.0,Grand Central Station,1972,Signed in pencil lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Traditional
565,565,565,1.500 USD,Richard Garrison,0.0,Untitled (Yellow),2009,[nan],This work is in very good condition.Not examined out of frame.No visible signs of wear to artwork.,Contemporary,Conceptual 
566,566,566,800 USD,Gregg Saunders,0.0,Untitled Landscape,Late 20th Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism
