,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
354,354,354,6.500 USD,Biff Elrod,0.0,Other Woman I,2011,"Front lower left ""B.F. Elrod""",Excellent condition.,Contemporary,Pop Art
355,355,355,5.500 USD,Biff Elrod,0.0,G-OW-RW,2008,Signed verso ,Excellent condition.,Contemporary,Pop Art
356,356,356,5.000 USD,Flip Schulke,0.0,"Cassius Clay at the 5th Street Gym, Miami Beach, FL",1961,Signed and copyrighted in pencil and with a Flip Schulke studio label on the reverse.,This print is in generally excellent condition. There are some fingerprints in the upper right quadrant.,Modern,Realism
357,357,357,4.500 USD,Ralph Morse,0.0,Cassius Clay After Defeating Sonny Liston,1964,[nan],"This early print is in generally very good condition. Visible under close inspection are some scuffs, soft handling creases and an approximately one-inch crease in the lower left quadrant that appears to break the emulsion. There is minor edge wear, with some sharp creases that break the emulsion and occasional losses. On the reverse are numerous reproduction notations in crayon and graphite in unidentified hands.",Modern,Realism
358,358,358,4.000 USD,John Shearer,137.0,Muhammed Ali (Training),[nan],[nan],"This print is in generally very good condition. Visible under close examination are hairline scratches, some cloudy areas that may be the result of processing, scuffs, and soft handling creases. ‘25619 / 6C13M 27’ Is written in pencil in an unidentified hand on the reverse.",Modern,Realism
359,359,359,4.000 USD,Flip Schulke,0.0,Cassius Clay training in a pool at the Sir John Hotel in Miami,1964,"Blindstamped by the photographer’s archive in the margin.Signed and copyrighted in pencil on the reverse, a Flip Schulke, West Palm Beach studio label on the reverse annotated ‘M. Ali’ in ink.",[nan],Modern,Realism
360,360,360,4.000 USD,Flip Schulke,0.0,"Muhammad Ali at the Fifth Street Gym, Miami Beach",1964,"A Flip Schulke, West Palm Beach studio label on the reverse, annotated ‘1964’ in red ink.",This print is in generally excellent condition. There are occasional hairline scratches. In the margin is a piece of adhesive with ‘P74’ and ‘63%’ written in pencil in an unidentified hand.,Modern,Realism
361,361,361,22.500 USD,Christopher Williams,163.0,"CUTAWAY MODEL NIKKOR ZOOM LENS 50-300MM Ƒ/4.5. PHOTOGRAPHY BY THE DOUGLAS M. PARKER STUDIO, LOS ANGELES, CALIFORNIA, OCTOBER 13, 2007 - OCTOBER 29, 2007",2007,"Signed, partially titled, dated 08 and numbered AP on the reverse","This work is in very good condition overall.There is a light layer of surface dust that has adhered to the surface.Under very close inspection there is a white spot accretion, 7 inches from the top edge and 10 inches from the left edge.",Contemporary,Realism
362,362,362,37.000 USD,Marcel Dyf,129.0,Fille aux Violets,1957,Signed Dyf bottom left in paint,"Overall very good condition.Small chip to canvas at left side, middle.Occasional scratching and chips at frame corners.Not examined out of frame.",Post-War,Impressionism
363,363,363,9.350 USD,Mickalene Thomas,144.0,Portrait of Marie Sitting in Black and White,2012,[nan],Excellent condition.Not examined out of frame.,Contemporary,Conceptual 
364,364,364,14.680 USD,Mickalene Thomas,144.0,Madame Mama Bush in Black and White,2007 - 2011,"Signed, dated, and titled in ink on verso.",Excellent condition.,Contemporary,Conceptual 
365,365,365,20.000 USD,Hiroshi Sugimoto,132.0,Helicoid Minimal Surface,2004,Signed in front under the mat on the right side.,Excellent condition.,Contemporary,Conceptual 
366,366,366,20.000 USD,Hiroshi Sugimoto,132.0,Differential Bevel Gear,2004,Signed in front under the mat on the right side.,Excellent condition.,Contemporary,Conceptual 
367,367,367,5.000 USD,Berndnaut Smilde,128.0,Iconoclouds,2013,Artist and printer chops on right front.,Excellent condition.,Contemporary,Conceptual 
368,368,368,25.000 USD,Ed  Ruscha,173.0,Sin,1970,"Signed, dated and numbered on front left corner.",Excellent condition.,Contemporary,Conceptual 
369,369,369,5.000 USD,Allan  McCollum,85.0,Lands of Shadow and Substance #27,2014,[nan],Excellent condition.,Contemporary,Conceptual 
370,370,370,5.000 USD,Allan  McCollum,85.0,Lands of Shadow and Substance #21,2014,[nan],Excellent condition.,Contemporary,Conceptual 
371,371,371,5.000 USD,Allan  McCollum,85.0,Lands of Shadow and Substance #2,2014,[nan],Excellent condition.,Contemporary,Conceptual 
372,372,372,2.000 USD,Sophie Von Hellermann,131.0,Untitled ,2010,"Signed ""Sophie von Hellermann"" in block capitals and with the artist's signature.",No obvious signs of wear or use. ,Contemporary,Expressionism
373,373,373,2.000 USD,Dawn Mellor,0.0,Untitled ,1998,"Signed ""Dawn Mellor"" in block capitals and with the artist's signature.",Minor losses to paint layers on edges.Water damage on verso. ,Contemporary,Expressionism
374,374,374,3.000 USD,Gillian Carnegie,122.0,Untitled ,1998,"Signed ""Gillian Carnegie"" in block capitals and with the artist's signature.",No obvious signs of wear or use. ,Contemporary,Impressionism
375,375,375,6.000 USD,Lawrence Weiner,160.0,BE THAT AS IT MIGHT - ASPIRE,2009,"Signed ""Lawrence Weiner"" in block capitals and with the artist's signature.",Occasional smudges and wear to corners. ,Contemporary,Conceptual 
376,376,376,15.500 USD,Paul Lucien Maze,0.0,Oxford from Christ Church Pavilion,20th Century ,Signed Paul Maze lower left recto,No obvious signs of wear to art.Not examined out of frame.Minor frame abrasion and chips to gilt at edges.,Post-War,Post-Impressionism
377,377,377,4.000 USD,Zak Smith,0.0,Things I Drew and Pinned to the Wall 2007,2007,[nan],[nan],Contemporary,Punk
378,378,378,2.000 USD,Matthew Brannon,140.0,Sick Whore 2006,2006,[nan],[nan],Contemporary,Conceptual 
379,379,379,4.000 USD,Zak Smith,0.0,Full-Spectrum Dominance in All Theaters 2007,2007,[nan],[nan],Contemporary,Punk
380,380,380,2.000 USD,Matthew Brannon,140.0,How It All Ends 2006,2006,[nan],[nan],Contemporary,Conceptual 
381,381,381,9.500 USD,Paige Neuhauser,0.0,W. 28th from Great Jones Alley series,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
382,382,382,9.500 USD,Paige Neuhauser,0.0,Broadway & 28th from Great Jones Alley ,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
383,383,383,9.500 USD,Paige Neuhauser,0.0,Great Jones #2 from Great Jones Alley Series,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
384,384,384,650 USD,David Levinthal,119.0,Barbie 64,1998 / 2011,Signed and numbered in ink verso,This work is in excellent condition with no signs of wear.This work is unframed.,Contemporary,Pop Art
385,385,385,2.500 USD,Doris McCarthy,0.0,Arancia,2021,"Titled, numbered, signed and dated recto",Excellent condition.,Contemporary,Abstract
386,386,386,2.500 USD,Doris McCarthy,0.0,lampone,2021,"Titled, numbered, signed and dated recto",Excellent condition ,Contemporary,Abstract
387,387,387,8.000 USD,Diane Tuft,0.0,States of Matter,2005,"Signed, dated, titled and numbered on the reverse.",This work is in very good condition overall.Small nick to one corner of the frame.,Contemporary,Environmental Art
388,388,388,8.000 USD,Diane Tuft,0.0,Red Sea,2005,"Signed, dated, titled and numbered on the reverse.",This work is in very good condition with no obvious signs of damage or wear.,Contemporary,Environmental Art
389,389,389,25.000 USD,GEORGE LOVETT KINGSLAND MORRIS,0.0,"St. Etienne-du-Mont, No. 2",1962 - 1963,"Signed Morris (lower right); also signed again, titled St. Etienne-du-Mont, No. 2 and dated 1962-3 (on the reverse)","The canvas is unlined and there is minor frame abrasion at the extreme edges. Under UV: there is some inpainting to address frame abrasion. Although some pigments read strongly under UV, they appear to be the artist's original.",Post-War,Cubism
390,390,390,3.895 USD,Bruce Nauman,168.0,Sequence,1969,Signed in ink lower right,This work is in very good condition.Minor crease and bend to lower right corner of print.,Post-War,Pop Art
391,391,391,15.000 USD,Francesco Correggia,0.0,Nevermore,2013,Signed verso ,Overall excellent condition.,Contemporary,Abstract
392,392,392,12.000 USD,Francesco Correggia,0.0,Verso Sera,2012,Signed verso ,Overall excellent condition.,Contemporary,Abstract
393,393,393,12.000 USD,Francesco Correggia,0.0,Si Sciara,2012,Signed verso ,Overall excellent condition.,Contemporary,Abstract
